File Server,Access Path,SID,Permissions
XM001WB4.monoprix.lan,C:\Users\admcit_nmi\AppData\Roaming\Adobe\Flash Player\NativeCache,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\admcit_nmi\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Users\admcit_nmi\Favorites,S-1-15-3-4096,RWXLS
XM001WB4.monoprix.lan,C:\Users\admcit_rco\AppData\Local\Microsoft\Feeds,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\admcit_rco\AppData\Local\Microsoft\Internet Explorer\Tracking Protection,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\admcit_rco\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Users\admcit_san\AppData\Local\Microsoft\Feeds,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\admcit_san\AppData\Local\Microsoft\Internet Explorer\Tracking Protection,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\admcit_san\AppData\Roaming\Adobe\Flash Player\NativeCache,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\admcit_san\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Users\admcit_san\Favorites,S-1-15-3-4096,RWXLS
XM001WB4.monoprix.lan,C:\Users\P003230\AppData\Local\Microsoft\Feeds,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\P003230\AppData\Local\Microsoft\Internet Explorer\Tracking Protection,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\P003230\AppData\Roaming\Adobe\Flash Player\NativeCache,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\P003230\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Users\P003230\Favorites,S-1-15-3-4096,RWXLS
XM001WB4.monoprix.lan,C:\Users\T000169\AppData\Local\Microsoft\Feeds,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\T000169\AppData\Local\Microsoft\Internet Explorer\Tracking Protection,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\T000169\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Users\T000197\AppData\Local\Microsoft\Feeds,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\T000197\AppData\Local\Microsoft\Internet Explorer\Tracking Protection,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\T000197\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Windows\AUInstallAgent,S-1-5-80-3255245711-2299143944-194867251-3039319271-3940665539,FMRWXL
XM001WB4.monoprix.lan,C:\Windows\Logs\MeasuredBoot,S-1-15-3-9,R
XM001WB4.monoprix.lan,C:\Windows\ServiceProfiles\LocalService\AppData\Local\Microsoft\WSLicense,S-1-5-80-1227353651-1023108616-160957920-2792958081-1972711695,RWS
XM001WB4.monoprix.lan,C:\Windows\System32\config\systemprofile\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,E:\$RECYCLE.BIN\S-1-5-21-1814001345-345268950-1373009395-61325,S-1-5-21-1814001345-345268950-1373009395-61325,FMRWXL
XM001WB4.monoprix.lan,F:\$RECYCLE.BIN\S-1-5-21-1814001345-345268950-1373009395-61325,S-1-5-21-1814001345-345268950-1373009395-61325,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\FICHE FOURNISSEURS\Saison_AH14\FEMME\PETIT BATEAU,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\REASSORT\AH16,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\7 For All Mankind,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
XM001WB4.monoprix.lan,F:\MonshoowRoom\01-ACHATS\Saison_AH16\FEMME\7 For All Mankind\DOC IMPORT,S-1-5-21-1814001345-345268950-1373009395-78111,FMRWXL
